Sale ID,Product ID,Customer ID,Quantity,Sale Date,Total Price
1,1,101,1,2024-01-05,699.99
2,2,102,1,2024-01-06,999.99
3,3,103,2,2024-01-07,199.99
4,4,104,3,2024-01-08,19.99
5,5,105,2,2024-01-09,39.99
6,6,106,1,2024-01-10,899.99
7,7,107,2,2024-01-11,149.99
8,8,108,4,2024-01-12,29.99
9,9,109,3,2024-01-13,24.99
10,10,110,5,2024-01-14,14.99
11,11,111,2,2024-01-15,19.99
12,12,112,1,2024-01-16,29.99
13,13,113,3,2024-01-17,19.99
14,14,114,2,2024-01-18,89.99
15,15,115,1,2024-01-19,29.99
16,16,116,1,2024-01-20,499.99
17,17,117,1,2024-01-21,199.99
18,18,118,1,2024-01-22,1999.99
19,19,119,1,2024-01-23,1499.99
20,20,120,5,2024-01-24,14.95
21,21,121,2,2024-01-25,2.99
22,22,122,3,2024-01-26,249.99
23,23,123,1,2024-01-27,499.99
24,24,124,1,2024-01-28,149.99
25,25,125,2,2024-01-29,19.99
26,26,126,1,2024-01-30,69.99
27,27,127,3,2024-01-31,89.99
28,28,128,1,2024-02-01,499.99
29,29,129,2,2024-02-02,34.99
30,30,130,1,2024-02-03,29.99
31,31,131,1,2024-02-04,12.99
32,32,132,2,2024-02-05,15.99
33,33,133,3,2024-02-06,49.99
34,34,134,1,2024-02-07,39.99
35,35,135,2,2024-02-08,29.99
36,36,136,1,2024-02-09,79.99
37,37,137,1,2024-02-10,199.99
38,38,138,2,2024-02-11,149.99
39,39,139,1,2024-02-12,999.99
40,40,140,1,2024-02-13,299.99
41,41,141,3,2024-02-14,0.99
42,42,142,2,2024-02-15,5.99
43,43,143,1,2024-02-16,39.99
44,44,144,1,2024-02-17,89.99
45,45,145,2,2024-02-18,69.99
46,46,146,1,2024-02-19,19.99
47,47,147,1,2024-02-20,29.99
48,48,148,2,2024-02-21,59.99
49,49,149,1,2024-02-22,3.99
50,50,150,2,2024-02-23,39.99
51,1,101,1,2024-02-24,699.99
52,2,102,1,2024-02-25,999.99
53,3,103,1,2024-02-26,199.99
54,4,104,2,2024-02-27,19.99
55,5,105,3,2024-02-28,39.99
56,6,106,1,2024-03-01,899.99
57,7,107,2,2024-03-02,149.99
58,8,108,3,2024-03-03,29.99
59,9,109,1,2024-03-04,24.99
60,10,110,2,2024-03-05,14.99
61,11,111,1,2024-03-06,19.99
62,12,112,2,2024-03-07,29.99
63,13,113,1,2024-03-08,19.99
64,14,114,2,2024-03-09,89.99
65,15,115,1,2024-03-10,29.99
66,16,116,1,2024-03-11,499.99
67,17,117,1,2024-03-12,199.99
68,18,118,1,2024-03-13,1999.99
69,19,119,1,2024-03-14,1499.99
70,20,120,4,2024-03-15,14.95
71,21,121,2,2024-03-16,2.99
72,22,122,3,2024-03-17,249.99
73,23,123,1,2024-03-18,499.99
74,24,124,1,2024-03-19,149.99
75,25,125,2,2024-03-20,19.99
76,26,126,1,2024-03-21,69.99
77,27,127,3,2024-03-22,89.99
78,28,128,1,2024-03-23,499.99
79,29,129,2,2024-03-24,34.99
80,30,130,1,2024-03-25,29.99
81,31,131,1,2024-03-26,12.99
82,32,132,2,2024-03-27,15.99
83,33,133,1,2024-03-28,49.99
84,34,134,1,2024-03-29,39.99
85,35,135,2,2024-03-30,29.99
86,36,136,1,2024-03-31,79.99
87,37,137,1,2024-04-01,199.99
88,38,138,2,2024-04-02,149.99
89,39,139,1,2024-04-03,999.99
90,40,140,1,2024-04-04,299.99
91,41,141,3,2024-04-05,0.99
92,42,142,2,2024-04-06,5.99
93,43,143,1,2024-04-07,39.99
94,44,144,1,2024-04-08,89.99
95,45,145,2,2024-04-09,69.99
96,46,146,1,2024-04-10,19.99
97,47,147,1,2024-04-11,29.99
98,48,148,2,2024-04-12,59.99
99,49,149,1,2024-04-13,3.99
100,50,150,2,2024-04-14,39.99
101,1,101,1,2024-04-15,699.99
102,2,102,1,2024-04-16,999.99
103,3,103,1,2024-04-17,199.99
104,4,104,2,2024-04-18,19.99
105,5,105,3,2024-04-19,39.99
106,6,106,1,2024-04-20,899.99
107,7,107,2,2024-04-21,149.99
108,8,108,3,2024-04-22,29.99
109,9,109,1,2024-04-23,24.99
110,10,110,2,2024-04-24,14.99
111,11,111,1,2024-04-25,19.99
112,12,112,2,2024-04-26,29.99
113,13,113,1,2024-04-27,19.99
114,14,114,2,2024-04-28,89.99
115,15,115,1,2024-04-29,29.99
116,16,116,1,2024-04-30,499.99
117,17,117,1,2024-05-01,199.99
118,18,118,1,2024-05-02,1999.99
119,19,119,1,2024-05-03,1499.99
120,20,120,4,2024-05-04,14.95
121,21,121,2,2024-05-05,2.99
122,22,122,3,2024-05-06,249.99
123,23,123,1,2024-05-07,499.99
124,24,124,1,2024-05-08,149.99
125,25,125,2,2024-05-09,19.99
126,26,126,1,2024-05-10,69.99
127,27,127,3,2024-05-11,89.99
128,28,128,1,2024-05-12,499.99
129,29,129,2,2024-05-13,34.99
130,30,130,1,2024-05-14,29.99
131,31,131,1,2024-05-15,12.99
132,32,132,2,2024-05-16,15.99
133,33,133,1,2024-05-17,49.99
134,34,134,1,2024-05-18,39.99
135,35,135,2,2024-05-19,29.99
136,36,136,1,2024-05-20,79.99
137,37,137,1,2024-05-21,199.99
138,38,138,2,2024-05-22,149.99
139,39,139,1,2024-05-23,999.99
140,40,140,1,2024-05-24,299.99
141,41,141,3,2024-05-25,0.99
142,42,142,2,2024-05-26,5.99
143,43,143,1,2024-05-27,39.99
144,44,144,1,2024-05-28,89.99
145,45,145,2,2024-05-29,69.99
146,46,146,1,2024-05-30,19.99
147,47,147,1,2024-05-31,29.99
148,48,148,2,2024-06-01,59.99
149,49,149,1,2024-06-02,3.99
150,50,150,2,2024-06-03,39.99
151,1,101,1,2024-06-04,699.99
152,2,102,1,2024-06-05,999.99
153,3,103,1,2024-06-06,199.99
154,4,104,2,2024-06-07,19.99
155,5,105,3,2024-06-08,39.99
156,6,106,1,2024-06-09,899.99
157,7,107,2,2024-06-10,149.99
158,8,108,3,2024-06-11,29.99
