Access ID,Customer ID,Access Date,Page Visited,Duration on Page
1,1,2024-08-01,Homepage,120
2,1,2024-08-01,Product Page,240
3,2,2024-08-02,Homepage,130
4,2,2024-08-02,Contact Us,60
5,3,2024-08-03,Homepage,150
6,3,2024-08-03,About Us,200
7,4,2024-08-04,Product Page,300
8,4,2024-08-04,Checkout,180
9,5,2024-08-05,Homepage,90
10,5,2024-08-05,Product Page,110
11,6,2024-08-06,Homepage,140
12,6,2024-08-06,Blog,120
13,7,2024-08-07,Product Page,160
14,7,2024-08-07,Contact Us,75
15,8,2024-08-08,Homepage,110
16,8,2024-08-08,Checkout,200
17,9,2024-08-09,Homepage,100
18,9,2024-08-09,Blog,90
19,10,2024-08-10,Product Page,80
20,10,2024-08-10,Contact Us,150
21,11,2024-08-11,Homepage,200
22,11,2024-08-11,Product Page,220
23,12,2024-08-12,Homepage,85
24,12,2024-08-12,Checkout,110
25,13,2024-08-13,Homepage,175
26,13,2024-08-13,Product Page,95
27,14,2024-08-14,Homepage,140
28,14,2024-08-14,Blog,130
29,15,2024-08-15,Product Page,150
30,15,2024-08-15,Contact Us,100
31,16,2024-08-16,Homepage,130
32,16,2024-08-16,Product Page,160
33,17,2024-08-17,Homepage,140
34,17,2024-08-17,Checkout,90
35,18,2024-08-18,Product Page,115
36,18,2024-08-18,Blog,80
37,19,2024-08-19,Homepage,125
38,19,2024-08-19,Contact Us,60
39,20,2024-08-20,Homepage,110
40,20,2024-08-20,Product Page,70
41,21,2024-08-21,Homepage,145
42,21,2024-08-21,Blog,75
43,22,2024-08-22,Product Page,150
44,22,2024-08-22,Checkout,200
45,23,2024-08-23,Homepage,135
46,23,2024-08-23,Product Page,180
47,24,2024-08-24,Homepage,160
48,24,2024-08-24,Contact Us,90
49,25,2024-08-25,Homepage,130
50,25,2024-08-25,Blog,100
51,26,2024-08-26,Product Page,120
52,26,2024-08-26,Checkout,150
53,27,2024-08-27,Homepage,140
54,27,2024-08-27,Product Page,155
55,28,2024-08-28,Homepage,110
56,28,2024-08-28,Contact Us,80
57,29,2024-08-29,Product Page,160
58,29,2024-08-29,Blog,90
59,30,2024-08-30,Homepage,150
60,30,2024-08-30,Checkout,120
61,31,2024-08-01,Homepage,140
62,31,2024-08-01,Product Page,170
63,32,2024-08-02,Homepage,130
64,32,2024-08-02,Contact Us,80
65,33,2024-08-03,Homepage,155
66,33,2024-08-03,Blog,110
67,34,2024-08-04,Product Page,200
68,34,2024-08-04,Checkout,160
69,35,2024-08-05,Homepage,120
70,35,2024-08-05,Product Page,140
71,36,2024-08-06,Homepage,135
72,36,2024-08-06,Blog,90
73,37,2024-08-07,Product Page,150
74,37,2024-08-07,Contact Us,70
75,38,2024-08-08,Homepage,125
76,38,2024-08-08,Checkout,200
77,39,2024-08-09,Homepage,140
78,39,2024-08-09,Blog,100
79,40,2024-08-10,Product Page,160
80,40,2024-08-10,Contact Us,90
81,41,2024-08-11,Homepage,150
82,41,2024-08-11,Product Page,175
83,42,2024-08-12,Homepage,95
84,42,2024-08-12,Checkout,120
85,43,2024-08-13,Homepage,110
86,43,2024-08-13,Blog,130
87,44,2024-08-14,Product Page,140
88,44,2024-08-14,Contact Us,60
89,45,2024-08-15,Homepage,160
90,45,2024-08-15,Blog,110
91,46,2024-08-16,Product Page,150
92,46,2024-08-16,Checkout,140
93,47,2024-08-17,Homepage,130
94,47,2024-08-17,Product Page,180
95,48,2024-08-18,Homepage,120
96,48,2024-08-18,Contact Us,75
97,49,2024-08-19,Product Page,140
98,49,2024-08-19,Blog,85
99,50,2024-08-20,Homepage,150
100,50,2024-08-20,Checkout,100
101,51,2024-08-21,Homepage,135
102,51,2024-08-21,Product Page,160
103,52,2024-08-22,Homepage,145
104,52,2024-08-22,Contact Us,90
105,53,2024-08-23,Product Page,155
106,53,2024-08-23,Blog,100
